Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0603_1608Metric",148.375280,-78.895500,0.000000,top
"C2","1u","C_0603_1608Metric",148.883280,-84.483500,180.000000,top
"C3","100u","CP_EIA-7343-20_Kemet-V",117.175000,-73.525000,0.000000,top
"C4","47u","C_1206_3216Metric",156.500000,-90.000000,0.000000,top
"C5","0.1u","C_0603_1608Metric",132.987280,-45.616000,0.000000,top
"C6","0.01u","C_0603_1608Metric",118.550000,-40.675000,90.000000,top
"C7","1u","C_0805_2012Metric",129.431280,-45.616000,180.000000,top
"C8","1u","C_0805_2012Metric",125.875280,-45.616000,0.000000,top
"C9","0.1u","C_0603_1608Metric",122.655280,-45.489000,180.000000,top
"C10","100u","C_1210_3225Metric",129.000000,-82.500000,90.000000,top
"C15","0.1u","C_0603_1608Metric",140.197280,-41.958000,0.000000,top
"C16","0.1u","C_0603_1608Metric",148.084280,-40.434000,90.000000,top
"C17","0.1u","C_0603_1608Metric",148.084280,-37.386000,90.000000,top
"C18","1u","C_0805_2012Metric",137.416280,-40.368000,90.000000,top
"C19","0.1u","C_0603_1608Metric",149.608280,-40.942000,-90.000000,top
"C20","0.1u","C_0603_1608Metric",149.608280,-36.370000,-90.000000,top
"C21","0.1u","C_0603_1608Metric",146.023280,-74.191000,180.000000,top
"C22","0.1u","C_0603_1608Metric",140.736280,-81.103000,0.000000,top
"C23","1u","C_0805_2012Metric",145.769280,-75.969000,180.000000,top
"C24","1u","C_0805_2012Metric",140.416280,-82.993001,0.000000,top
"D2","LED","LED_0805_2012Metric",149.000000,-75.969000,90.000000,top
"D3","LED","LED_0805_2012Metric",156.426000,-34.000000,0.000000,top
"D4","LED","LED_0805_2012Metric",146.531280,-87.145000,-90.000000,top
"D9","LED","LED_0402_1005Metric",173.061280,-101.948000,0.000000,top
"D10","LED","LED_0402_1005Metric",173.061280,-104.988000,0.000000,top
"D11","LED","LED_0402_1005Metric",173.061280,-108.028000,0.000000,top
"D12","LED","LED_0402_1005Metric",173.000000,-99.000000,0.000000,top
"D21","B340-13-F","D_SMC",178.102000,-25.930000,-90.000000,top
"H2","MountingHole_Pad","MountingHole_3.2mm_M3_Pad_Via",114.000000,-38.631000,90.000000,top
"H3","MountingHole_Pad","MountingHole_3.2mm_M3_Pad_Via",188.697056,-112.000000,0.000000,top
"H4","MountingHole_Pad","MountingHole_3.2mm_M3_Pad_Via",114.000000,-112.000000,0.000000,top
"IC2","ADUM1250WSRZ-RL7","SOIC127P600X175-8N",128.751280,-42.060000,180.000000,top
"J1","PJ-063AH","CUI_PJ-063AH",157.707280,-30.613000,90.000000,top
"J2","B6B-ZR-SM4-TF","CONN_B6B-ZR-SM4-TF_JST",127.864780,-99.353001,90.000000,top
"J3","A-DS_15_A_KG-T4S","ADS15AKGT4S",139.673280,-31.773000,180.000000,top
"J4","B6B-ZR-SM4-TF","CONN_B6B-ZR-SM4-TF_JST",138.557780,-99.353001,-90.000000,top
"J5","Screw_Terminal_01x06","TerminalBlock_Xinya_XY308-2.54-6P_1x06_P2.54mm_Horizontal",116.000000,-89.960000,-90.000000,top
"J6","Socket_1x24_2.54mm_SMT","PinSocket_1x24_P2.54mm_Vertical_SMD_DualLand",170.610000,-51.330000,0.000000,top
"J7","Socket_1x24_2.54mm_SMT","PinSocket_1x24_P2.54mm_Vertical_SMD_DualLand",185.850000,-51.330000,180.000000,top
"J10","87832-0410","878320410",114.625000,-53.230000,-90.000000,top
"J11","0705430001","SHDR2W64P0X254_1X2_737X660X1181P",114.875000,-60.460000,-90.000000,top
"J12","87832-0410","878320410",124.135000,-53.230000,-90.000000,top
"J13","0705430001","SHDR2W64P0X254_1X2_737X660X1181P",123.875000,-60.460000,-90.000000,top
"J14","87832-0410","878320410",133.635000,-53.230000,-90.000000,top
"J15","0533980671","MOLEX_0533980671",150.087280,-98.907500,0.000000,top
"J16","0705430001","SHDR2W64P0X254_1X2_737X660X1181P",133.375000,-60.460000,-90.000000,top
"J17","0533980671","MOLEX_0533980671",164.819280,-108.051000,180.000000,top
"J18","87832-0410","878320410",143.260000,-53.230000,-90.000000,top
"J19","0705430001","SHDR2W64P0X254_1X2_737X660X1181P",143.000000,-60.460000,-90.000000,top
"J20","0533980671","MOLEX_0533980671",164.819280,-98.873500,0.000000,top
"J21","87832-0410","878320410",152.760000,-53.230000,-90.000000,top
"J22","0705430001","SHDR2W64P0X254_1X2_737X660X1181P",152.500000,-60.460000,-90.000000,top
"J24","0705430001","SHDR2W64P0X254_1X2_737X660X1181P",161.500000,-60.460000,-90.000000,top
"J25","87832-0410","878320410",162.125000,-53.230000,-90.000000,top
"R1","0","R_0402_1005Metric",119.500000,-36.500000,0.000000,top
"R3","5.6k","R_0805_2012Metric",149.071280,-72.413000,-90.000000,top
"R4","47k","R_0402_1005Metric",160.490000,-34.000000,180.000000,top
"R5","3k","R_0402_1005Metric",148.309280,-87.304500,-90.000000,top
"R9","2.7K","R_0402_1005Metric",177.471280,-101.453000,0.000000,top
"R10","42K","R_0603_1608Metric",178.471280,-104.403000,0.000000,top
"R11","2.7K","R_0402_1005Metric",177.471280,-107.353000,0.000000,top
"R12","2.7K","R_0402_1005Metric",177.500000,-98.000000,0.000000,top
"R22","10k","R_0402_1005Metric",123.417280,-43.584000,90.000000,top
"R23","10k","R_0402_1005Metric",122.319280,-43.584000,90.000000,top
"R39","10k","R_0402_1005Metric",148.471280,-95.103000,90.000000,top
"R40","10k","R_0402_1005Metric",150.461280,-95.103000,90.000000,top
"R41","10k","R_0402_1005Metric",146.961280,-106.093000,-90.000000,top
"R42","10k","R_0402_1005Metric",144.971280,-106.093000,-90.000000,top
"R43","10k","R_0402_1005Metric",163.510000,-95.093000,90.000000,top
"R44","10k","R_0402_1005Metric",165.500000,-95.093000,90.000000,top
"R51","47k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",165.000000,-73.000000,90.000000,top
